1boy,1个男孩
erection,勃起
eyebrows,眉毛
eyelashes,睫毛
faceless_character,无面角色
facial_hair,面部毛发
facial_mark,面部标记
facial_tuft,面部簇毛
fang,虎牙
fangs,尖牙
feet,脚部
female,女性
female/female,女性/女性
female_pubic_hair,女性阴毛
femboy,伪娘
fingernails,指甲
fingers,手指
flat_chest,平胸
floating_hair,飘浮发丝
fox_girl,狐娘
fox_tail,狐狸尾巴
furry,兽人
genital_fluids,生殖器液
genitals,生殖器
glans,龟头
gradient_hair,渐变发
green_body,绿色身体
green_eyes,绿瞳
green_hair,绿发
grey_body,灰色躯体
grey_eyes,灰色眼睛
grey_hair,灰发
groin,腹股沟
gynomorph,雌性形态
hair,头发
hair_between_eyes,遮眼发
hair_bun,发髻
hair_intakes,发束
hair_over_one_eye,单遮眼发型
hair_tubes,管状发
half-closed_eyes,半闭眼
heart-shaped_pupils,心形瞳孔
heart_eyes,爱心眼
heterochromia,异色瞳
high_ponytail,高马尾
hindpaw,后爪
horn,角
horns,角
horse_ears,马耳
horse_girl,马娘
horse_tail,马尾辫
huge_balls,巨大睾丸
huge_breasts,巨乳
huge_butt,巨臀
human,人类
humanoid,人形生物
humanoid_genitalia,人形生殖器
humanoid_hands,类人手部
humanoid_penis,人形阴茎
humanoid_pointy_ears,类人尖耳
hybrid,杂交种
hyper_genitalia,巨殖器
hyper_penis,巨阴茎
inner_ear_fluff,耳内绒毛
intersex,双性
kemono,兽人
knot,阴茎膨大结
large_breasts,巨乳
larger_male,壮硕男性
legs,腿部
light_blush,淡红晕
lips,嘴唇
loli,萝莉
long_ears,长耳
long_hair,长发
low_twintails,低双马尾
magical_girl,魔法少女
maid,女仆
makeup,妆容
male,男性
male/female,男/女
male_focus,男性主角
mammal_humanoid,哺乳类人形
medium_breasts,中等胸部
medium_hair,中长发
membrane_(anatomy),膜（解剖学）
membranous_wings,膜翼
midriff,露脐
mole,痣
mole_under_eye,眼下痣
mostly_nude,半裸
multicolored_body,彩色躯体
multicolored_hair,彩色头发
multiple_boys,多名男孩
multiple_girls,多个女孩
muscular,肌肉发达
muscular_anthro,肌肉人形
muscular_male,肌肉男性
mythological_scalie,神话鳞族
nail_polish,美甲
navel,肚脐
nipples,乳头
no_humans,无人类
non-mammal_breasts,非哺乳类乳房
non-mammal_nipples,非哺乳类乳头
nose_blush,鼻部腮红
not_furry,非兽人
nude,裸体
one_side_up,单侧上翘
open_mouth,张嘴
orange_body,橙色身体
orange_eyes,橙色眼睛
orange_hair,橙色头发
overweight,超重
overweight_anthro,超重兽人
overweight_male,超重男性
parted_bangs,中分刘海
parted_lips,微张嘴唇
pecs,胸肌
pectorals,胸肌
penile,阴茎
penis,阴茎
pink_body,粉色身体
pink_eyes,粉色眼睛
pink_hair,粉发
pink_nipples,粉色乳头
pointy_ears,尖耳朵
ponytail,马尾
pubes,阴毛
pubic_hair,阴毛
pupils,瞳孔
purple_body,紫色身体
purple_eyes,紫瞳
purple_hair,紫发
pussy,阴部
pussy_juice,爱液
red_body,红色身体
red_eyes,红眼睛
red_hair,红发
robot,机器人
saliva,唾液
scar,疤痕
sharp_teeth,尖牙
shiny_skin,光泽肌肤
short_hair,短发
siblings,兄弟姐妹
side_ponytail,侧马尾
sideboob,侧乳
sidelocks,鬓发
single_braid,单马尾辫
single_hair_bun,单发髻
sisters,姐妹
skindentation,皮肤压痕
slightly_chubby,微胖体型
slit_pupils,竖瞳
small_breasts,贫乳
soles,脚底
spiked_hair,刺猬头
stomach,腹部
straight_hair,直发
streaked_hair,挑染发
submissive_male,顺从男性
swept_bangs,斜刘海
symbol-shaped_pupils,符号状瞳孔
tail,尾巴
tail_markings,尾部斑纹
tan_body,褐色身体
tan_fur,褐色毛发
tattoo,纹身
teeth,牙齿
testicles,睾丸
thick_eyebrows,浓眉毛
thick_thighs,粗大腿
thigh_gap,大腿缝
thighs,大腿
toes,脚趾
tongue,吐舌
tongue_out,吐舌
topless,裸上身
true_fox,真狐
tuft,簇毛
twin_braids,双辫
twintails,双马尾
two-tone_hair,双色发
two_side_up,两侧翘发
two_tone_body,双色身体
two_tone_fur,双色皮毛
two_tone_hair,双色发
upper_teeth_only,仅露上齿
v-shaped_eyebrows,V形眉
vaginal,私处
vaginal_fluids,阴道液
vein,血管脉络
very_long_hair,超长发
virtual_youtuber,虚拟主播
voluptuous,丰腴体态
wavy_hair,波浪发
wet,湿身
white_body,白色身体
white_hair,银发
wings,翅膀
wolf_ears,狼耳
yellow_body,黄色躯体
yellow_eyes,金瞳
young,年轻
young_anthro,年轻兽人
