1990s_(style),1990年代（风格）
horror_(theme),恐怖（主题）
huge_filesize,超大文件
icon,图标
ineffective_censorship,无效打码
jaggy_lines,锯齿线
jpeg_artifacts,JPEG压缩痕迹
letterbox,信箱画幅
letterboxed,信箱模式
light,光线
light_particles,光粒
light_rays,光线
lighting,光照
limited_palette,限色配色
line_art,线稿
lineart,线稿
long_image,长图
loop,循环
looping_animation,循环动画
low_res,低分辨率
lowres,低分辨率
marker_(medium),马克笔
material_growth,材质生长
meme,梗图
micro,微型
monochrome,单色
monotone_body,单色躯体
mosaic_censorship,马赛克审查
motion_blur,动态模糊
motion_lines,速度线
motion_tweening,运动补间
mottled,斑驳纹路
mountainous_horizon,山际线
multicolored_background,多彩背景
multiple_4koma,多重四格漫画
multiple_images,多图组合
multiple_scenes,多场景
muted_color,哑光色
name_in_dialogue,对话中提及姓名
nature_background,自然背景
nightmare_fuel,噩梦素材
notice_lines,注意线
novel_illustration,小说插画
nude_cover,裸体封面
oekaki,お絵描き
official_art,官方立绘
official_style,官方画风
official_wallpaper,官方壁纸
on_model,模特展示
one-hour_drawing_challenge,一小时绘画挑战
onomatopoeia,拟声词
orange_background,橙色背景
out-of-frame_censoring,画框外打码
outline,轮廓
outside_border,外边框
paintbrush,画笔
painting_(artwork),绘画作品
painting_(medium),画作（中号）
painttool_sai_(medium),绘画工具SAI（媒介）
parody,戏仿作品
partially_colored,部分上色
pattern_background,图案背景
photo,照片
photo-referenced,照片参考
photo_(medium),照片（媒介）
photo_background,照片背景
photography_(artwork),摄影（艺术作品）
photoshop_(medium),Photoshop（软件）
pictographics,象形图案
pink_background,粉色背景
pink_theme,粉色主题
pixel-perfect_duplicate,像素级复刻
pixel_(artwork),像素风格（艺术作品）
pixel_animation,像素动画
pixel_art,像素艺术
pixiv_fantasia,pixiv幻想编年史
pointless_censoring,无意义打码
polka_dot_background,波点背景
pride_colors,彩虹骄傲色
promotional_art,宣传图
purple_background,紫色背景
purple_theme,紫色主题
realistic,写实风格
red_background,红色背景
red_theme,红色主题
reference_inset,参考插图
reflection,倒影
resized,尺寸调整
restricted_palette,受限配色
retro_artstyle,复古画风
revision,修订
romaji_text,罗马字文本
sample_watermark,样本水印
scan,扫描图
scene_reference,场景参照
science_fiction,科幻
see-through_silhouette,透光剪影
sepia,棕褐色调
sequence,序列
shade,阴影
shaded,渐变阴影
shaded_face,阴影面部
shadow,阴影
sidelighting,侧光照明
silent_comic,无声漫画
silhouette,剪影
simple_background,简单背景
simple_shading,简单着色
sketch,草图
sketch_page,草图页
soft_shading,柔和阴影
soiling,污渍沾染
sound_effect_variant,音效变体
sound_effects,音效文字
source_filmmaker_(artwork),起源电影制作器（作品）
source_larger,源文件更大
sparkle,闪光
sparkles,闪光
speech_bubble,对话气泡
speed_lines,速度线
spoken_exclamation_mark,对话感叹号
spoken_squiggle,对话波纹
spot_color,点缀色
spotlight,聚光灯
square_crossover,方形交叉
squeans,泪珠特效
squiggle,波浪线
squish,挤压变形
star,星星
star_symbol_background,星形符号背景
still_life,静物画
striped_background,条纹背景
style_parody,风格模仿
tachi-e,立绘
tall_image,高画幅
tan_background,棕褐色背景
text_background,文字背景
text_focus,文字聚焦
textless_version,无文字版
three_row_layout,三行布局
toony,卡通风格
traditional_media,传统媒介
traditional_media_(artwork),传统媒介（艺术作品）
transformation_sequence,变身序列
transparent,透明
transparent_background,透明背景
two-tone_background,双色背景
ugoira,动图
uncensored,无修正
unfinished,未完成
unmoving_pattern,静态图案
vowelless_sound_effect,无元音拟声词
watercolor_(medium),水彩画
watermark,水印
white_background,白色背景
white_border,白边
white_outline,白色轮廓
white_text,白色文字
widescreen,宽屏画面
yaoi,耽美
yellow_background,黄色背景
yellow_theme,黄色主题
