abigail_williams_(fate),阿比盖尔·威廉姆斯（Fate）
idolmaster_(classic),偶像大师（经典）
idolmaster_cinderella_girls,偶像大师 灰姑娘女孩
idolmaster_cinderella_girls_starlight_stage,偶像大师 灰姑娘女孩 星光舞台
idolmaster_million_live!,偶像大师 百万现场！
idolmaster_shiny_colors,偶像大师 闪耀色彩
ikazuchi_(kancolle),雷（舰队Collection）
inaba_tewi,因幡帝
inazuma_(kancolle),电（舰队Collection）
inazuma_eleven_(series),闪电十一人（系列）
inkling,斯普拉遁
inkling_girl,乌贼娘
inkling_player_character,斯普拉遁玩家角色
inubashiri_momiji,犬走椛
izayoi_sakuya,十六夜咲夜
jeanne_d'arc_alter_(fate),贞德〔Alter〕（Fate）
jojo_no_kimyou_na_bouken,JOJO的奇妙冒险
jujutsu_kaisen,咒术回战
k-on!,轻音少女！
kaenbyou_rin,火焰猫燐
kaga_(kancolle),加贺（舰队Collection）
kagamine_len,镜音连
kagamine_rin,镜音铃
kagiyama_hina,键山雏
kamen_rider,假面骑士
kamishirasawa_keine,上白泽慧音
kaname_madoka,鹿目圆
kantai_collection,舰队Collection
kawashiro_nitori,河城荷取
kazami_yuuka,风见幽香
kemono_friends,兽娘动物园
kimetsu_no_yaiba,鬼灭之刃
kirby_(series),卡比（系列）
kirisame_marisa,雾雨魔理沙
kochiya_sanae,东风谷早苗
komeiji_koishi,古明地恋
komeiji_satori,古明地觉
kongou_(kancolle),金刚（舰队Collection）
kono_subarashii_sekai_ni_shukufuku_wo!,为美好的世界献上祝福！
konpaku_youmu,魂魄妖梦
konpaku_youmu_(ghost),魂魄妖梦（幽灵）
koopa,库巴
krystal_(star_fox),克莉斯特（星际火狐）
league_of_legends,英雄联盟
legendary_pokemon,传说宝可梦
lilo_and_stitch,星际宝贝
limbus_company,林博斯公司
link,林克
link!_like!_love_live!,Link! Like! Love Live!
love_live!,爱与直播!
love_live!_nijigasaki_high_school_idol_club,Love Live! 虹咲学园学园偶像同好会
love_live!_school_idol_project,Love Live! 学园偶像计划
love_live!_sunshine!!,LoveLive! 阳光!!
lucky_star,幸运星
lumine_(genshin_impact),荧（原神）
lyrical_nanoha,魔法少女奈叶
macross,超时空要塞
mahou_shoujo_lyrical_nanoha,魔法少女奈叶
mahou_shoujo_lyrical_nanoha_strikers,魔法少女奈叶Strikers
mahou_shoujo_madoka_magica,魔法少女小圆
mahou_shoujo_madoka_magica_(anime),魔法少女小圆（动画）
mario_(series),马力欧（系列）
mario_bros,马里奥兄弟
mash_kyrielight,玛修·基列莱特
mega_man_(series),洛克人（系列）
megurine_luka,巡音流歌
miki_sayaka,美树沙耶香
miles_prower,迈尔斯·普劳尔
miqo'te,猫魅族
mizuhashi_parsee,水桥帕露西
monogatari_(series),物语系列
monster_girl_(genre),魔物娘（题材）
monster_hunter,怪物猎人
monster_hunter_(series),怪物猎人（系列）
morichika_rinnosuke,森近霖之助
moriya_suwako,守矢诹访子
mystia_lorelei,米斯蒂娅·萝蕾拉
nagato_(kancolle),长门（舰队Collection）
nanami_chiaki,七海千秋
naruto_(series),火影忍者（系列）
nazrin,纳兹琳
neon_genesis_evangelion,新世纪福音战士
neptune_(series),涅普缇努（系列）
nero_claudius_(fate),尼禄·克劳狄乌斯（Fate）
nier:automata,automata:尼尔：机械纪元
nier_(series),尼尔（系列）
nijisanji,彩虹社
nijisanji_en,彩虹社EN
nishizumi_miho,西住美穗
one_piece,海贼王
overwatch,守望先锋
overwatch_1,守望先锋1
patchouli_knowledge,帕秋莉·诺蕾姬
persona_3,女神异闻录3
persona_4,女神异闻录4
pikachu,皮卡丘
pinkie_pie_(mlp),碧琪（小马宝莉）
pokemon,宝可梦
pokemon_(anime),宝可梦（动画）
pokemon_(creature),宝可梦（生物）
pokemon_(species),宝可梦（物种）
pokemon_bw,宝可梦 黑/白
pokemon_bw2,宝可梦黑白2
pokemon_dppt,宝可梦钻石珍珠白金
pokemon_sm,宝可梦日月
pokemon_sv,宝可梦 朱/紫
pokemon_swsh,宝可梦 剑/盾
pokemorph,宝可梦拟人
precure,光之美少女
princess_celestia_(mlp),塞拉斯蒂娅公主（小马宝莉）
princess_connect!,公主连结！
princess_luna_(mlp),露娜公主（小马宝莉）
princess_zelda,塞尔达公主
project_sekai,世界计划
ragnarok_online,仙境传说
raiden_shogun,雷电将军
rainbow_dash_(mlp),云宝（小马宝莉）
rarity_(mlp),瑞瑞（小马宝莉）
rebuild_of_evangelion,福音战士新剧场版
regional_form_(pokemon),地区形态（宝可梦）
reisen_udongein_inaba,铃仙·优昙华院·因幡
reiuji_utsuho,灵乌路空
remilia_scarlet,蕾米莉亚·斯卡雷特
rozen_maiden,蔷薇少女
rumia,露米娅
rwby,RWBY
saber_(fate),Saber（命运系列）
saibou_shinkyoku,细胞神曲
saigyouji_yuyuko,西行寺幽幽子
sakura_kyoko,佐仓杏子
scaramouche_(genshin_impact),斯卡拉姆齐（原神）
senki_zesshou_symphogear,战姬绝唱Symphogear
senran_kagura,闪乱神乐
sensei_(blue_archive),老师（蔚蓝档案）
shameimaru_aya,射命丸文
shigure_(kancolle),时雨（舰队Collection）
shimakaze_(kancolle),岛风（舰队Collection）
shingeki_no_kyojin,进击的巨人
shirakami_fubuki,白上吹雪
shiroko_(blue_archive),白子（蔚蓝档案）
sonic_(series),索尼克（系列）
sonic_the_hedgehog_(archie),刺猬索尼克（Archie漫画）
sonic_the_hedgehog_(comics),索尼克（漫画）
sonic_the_hedgehog_(series),刺猬索尼克（系列）
souryuu_asuka_langley,惣流·明日香·兰格雷
sousou_no_frieren,葬送的芙莉莲
spike_(mlp),穗龙（小马宝莉）
splatoon,斯普拉遁
splatoon_(series),喷射战士（系列）
spy_x_family,间谍过家家
stardust_crusaders,星尘斗士
street_fighter,街头霸王
strike_witches,强袭魔女
sus_(pig),苏西（小猪）
suzumiya_haruhi,凉宫春日
suzumiya_haruhi_no_yuuutsu,凉宫春日的忧郁
sword_art_online,刀剑神域
tales_of_(series),传说系列
tamamo_(fate),玉藻前（Fate系列）
tatara_kogasa,多多良小伞
tengen_toppa_gurren_lagann,天元突破 红莲螺岩
tenryuu_(kancolle),天龙（舰队Collection）
the_king_of_fighters,拳皇
the_legend_of_zelda,塞尔达传说
tifa_lockhart,蒂法·洛克哈特
toaru_kagaku_no_railgun,某科学的超电磁炮
toaru_majutsu_no_index,魔法禁书目录
tokyo_afterschool_summoners,东京放课后召唤师
tomoe_mami,巴麻美
touhou,东方
touhou_(pc-98),东方Project（PC-98）
touken_ranbu,刀剑乱舞
toyosatomimi_no_miko,丰聪耳神子
trailblazer_(honkai:_star_rail),开拓者（崩坏：星穹铁道）
tsukihime,月姬
twilight_sparkle_(mlp),暮光闪闪（小马宝莉）
umamusume,赛马娘
umineko_no_naku_koro_ni,海猫鸣泣之时
undertale_(series),传说之下（系列）
vision_(genshin_impact),命座（原神）
vocaloid,虚拟歌姬
warrior_of_light_(ff14),光之战士（最终幻想14）
world_witches_series,世界魔女系列
xenoblade_chronicles_(series),异度神剑（系列）
xenoblade_chronicles_2,异度神剑2
yae_miko,八重神子
yagokoro_eirin,八意永琳
yakumo_ran,八云蓝
yakumo_yukari,八云紫
yasaka_kanako,八坂神奈子
yu-gi-oh!,游戏王！
yuudachi_(kancolle),夕立（舰队Collection）
yuuka_(blue_archive),优香（蔚蓝档案）
zenless_zone_zero,绝区零
zuikaku_(kancolle),瑞鹤（舰队Collection）
