16:10,10:16:10比例
knees_out_of_frame,膝盖出画
landscape_dwarfing,景观矮化
large_group,大型群体
leashed_pov,项圈牵引视角
leashing_pov,牵引视角
lens_flare,镜头光晕
lens_flare_abuse,滥用镜头光晕
levitating_object,悬浮物体
lineup,队列
looking_aside,侧视
looking_at_another,注视他人
looking_at_viewer,看向观众
looking_away,视线移开
looking_back_at_viewer,回眸注视
looking_down_at_another,俯视他人
looking_down_at_partner,俯视伴侣
looking_down_at_self,俯视自身
looking_down_at_viewer,俯视观看者
looking_forward,向前注视
looking_offscreen,视线偏离屏幕
looking_sideways,侧视
looking_through,透视观察
looking_to_the_side,侧视
looking_up_at_another,仰视他人
looking_up_at_partner,仰视伴侣
looking_up_at_viewer,仰视观看者
looming,隐现
low-angle_view,低角度视角
lower_body,下半身
macro,巨观
macro_focus,微距对焦
macro_male,
macro_on_macro,宏观叠宏观
male_pov,男性视角
mirror_reflection,镜面反射
misleading_thumbnail,误导性缩略图
monster_focus,怪物特写
mostly_offscreen_character,主要画外角色
mostly_offscreen_male,主要画外男性
mouth_shot,口腔特写
mugshot,面部特写
multiple_angles,多视角
multiple_views,多视角
navel_focus,肚脐特写
non-circular_lens_flare,非圆形镜头光晕
object_focus,物体焦点
obscured_anal,遮蔽肛门
obscured_face,面容遮蔽
offscreen_character,画外角色
offscreen_male,画外男性
on_front,正面视角
on_surface,表面附着
one_eye_obstructed,单眼遮挡
other_focus,他人焦点
out_of_frame,画框外
over_shoulder,过肩视角
panty_shot,底裤走光
pantyshot,底裤走光
partially_shaded_face,部分遮脸
partially_underwater_shot,局部水下镜头
pec_pov_(meme),胸肌视角（梗）
pec_pov_meme,胸肌视角梗图
pectoral_focus,胸部特写
penetrated_pov,被插入视角
penetrating_pov,侵入视角
penis_close-up,阴茎特写
penis_out_of_frame,框外阴茎
penis_shot,阴茎特写
perspective,透视
perspective_shot,透视镜头
photobomb,照片炸弹
pillarboxed,柱箱式构图
piper_perri_surrounded,被围的派珀·佩里
plant_focus,植物特写
pokemon_focus,宝可梦特写
portrait,肖像画
pov,视角
pov_across_bed,床上视角
pov_across_table,桌对面视角
pov_cheek_grabbing_(meme),主观视角捏脸（梗）
pov_crotch,胯部视角
pov_doorway,视角门口
pov_hands,视角手部
prey_pov,猎物视角
pussy_close-up,阴部特写
pussy_focus,私处特写
pussy_shot,私处特写
rear_view,后视视角
receiving_pov,接收视角
reflection_focus,倒影焦点
reverse_mouth_shot,反向口部特写
selfie,自拍
sex_shot,性交镜头
shaft_look,沙发社式构图
shoulder_peek,肩头探视
side-by-side,并肩排列
side_by_side,并排
side_view,侧视图
sideways,侧身
size_comparison,尺寸对比
solo,单人
solo_focus,单人焦点
solo_in_panel,面板独白
straight-on,正面视角
submissive_pov,服从视角
surrounded,被包围
tail_censor,尾部遮挡
tail_upskirt,尾部底视图
taker_pov,拍摄者视角
talking_to_viewer,对观众说话
thigh_focus,大腿特写
three-quarter_portrait,四分之三侧面肖像
three-quarter_view,四分之三视角
three_quarter_profile,四分之三侧面
three_quarter_view,四分之三视角
through_medium,透过介质
through_screen,穿透屏幕
top-down_bottom-up,自上而下自下而上
torso_shot,躯干镜头
trio,三人组
trio_focus,三人焦点
under_shot,仰视视角
under_skirt,裙底
underhoof,蹄下视角
unusually_visible,异常显眼
upper_body,上半身
upshirt,仰视裙底
upside-down,倒置
upskirt,裙底视角
utterangle,极致角度
very_wide_shot,超广角镜头
view,视野
view_between_legs,胯下视角
viewer_holding_leash,观众牵绳
viewer_on_leash,牵绳观众
vignetting,暗角效果
waterline_view,吃水线视角
weapon_focus,武器特写
wide_shot,广角镜头
worm's-eye_view,虫视角
x-ray,X光透视
x-ray_view,X光视角
x-ray_vision,X射线视觉
zenshin,全身
zero_pictured,画面中无零
zoom_in,放大镜头
zoom_layer,缩放图层
zooming_in,镜头推进
